C:\Users\USER>ssh ngansen@192.168.86.36 "docker compose -f ~/hanryx-vault-pos/pi-setup/docker-compose.yml logs --tail=80 pos"
ngansen@192.168.86.36's password:
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:30 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:31 +0000] "GET /health HTTP/1.1" 200 236 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:31 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:31 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:31 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:32 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:32 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 172.18.0.1 - - [18/Apr/2026:01:00:32 +0000] "GET /health HTTP/1.1" 200 236 "http://localhost:8080/admin" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:32 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:33 +0000] "GET /health HTTP/1.1" 200 236 "-" "curl/8.14.1"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:33 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:33 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:33 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:34 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:34 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
